,CNES,TPGESTAO,SGRUPHAB
0,396,Dupla,1701
1,396,Dupla,1706
2,396,Estadual,1706
3,396,Estadual,1723
4,434,Dupla,1701
5,434,Dupla,1707
6,434,Dupla,1708
7,434,Dupla,1709
8,434,Dupla,1712
9,434,Dupla,1713
10,434,Dupla,1717
11,434,Dupla,1722
12,434,Dupla,1723
13,477,Dupla,1701
14,477,Dupla,1708
15,477,Dupla,1709
16,477,Dupla,1717
17,477,Dupla,1722
18,477,Dupla,1723
19,582,Dupla,1701
20,582,Dupla,1707
21,582,Dupla,1709
22,582,Dupla,1717
23,582,Estadual,1707
24,582,Estadual,1709
25,582,Estadual,1717
26,582,Estadual,1723
27,809,Dupla,1701
28,809,Dupla,1710
29,809,Estadual,1710
30,1023,Estadual,1704
31,2283,Estadual,1707
32,2283,Estadual,1718
33,2283,Estadual,1723
34,2283,Municipal,1701
35,2283,Municipal,1706
36,2283,Municipal,1707
37,2283,Municipal,1718
38,2534,Municipal,1706
39,2534,Municipal,1708
40,2534,Municipal,1723
41,3778,Estadual,1719
42,3778,Estadual,1720
43,3786,Dupla,1713
44,3786,Dupla,1717
45,3786,Dupla,1722
46,3786,Dupla,1723
47,3786,Municipal,1702
48,3786,Municipal,1712
49,3786,Municipal,1713
50,3808,Dupla,1701
51,3808,Dupla,1707
52,3808,Dupla,1718
53,3808,Municipal,1707
54,3808,Municipal,1718
55,3816,Dupla,1701
56,3816,Dupla,1708
57,3816,Dupla,1723
58,3816,Estadual,1708
59,3816,Estadual,1723
60,3832,Dupla,1701
61,3832,Dupla,1707
62,3832,Dupla,1708
63,3832,Dupla,1718
64,3832,Municipal,1707
65,3832,Municipal,1708
66,3921,Estadual,1706
67,3921,Estadual,1716
68,3921,Municipal,1705
69,3921,Municipal,1706
70,3921,Municipal,1716
71,4278,Dupla,1711
72,8753,Municipal,1704
73,8753,Municipal,1715
74,8923,Municipal,1706
75,9369,Municipal,1704
76,9539,Municipal,1705
77,9539,Municipal,1706
78,9539,Municipal,1709
79,9601,Municipal,1701
80,9601,Municipal,1708
81,9601,Municipal,1723
82,9709,Municipal,1701
83,9709,Municipal,1706
84,9709,Municipal,1707
85,9717,Municipal,1701
86,9717,Municipal,1707
87,9717,Municipal,1708
88,9725,Municipal,1701
89,9725,Municipal,1709
90,9725,Municipal,1723
91,9776,Dupla,1707
92,9776,Municipal,1701
93,9776,Municipal,1707
94,9776,Municipal,1717
95,9776,Municipal,1723
96,10456,Estadual,1702
97,10456,Estadual,1707
98,10456,Estadual,1708
99,10456,Estadual,1712
100,10456,Estadual,1713
101,10456,Estadual,1717
102,10456,Estadual,1720
103,10464,Estadual,1714
104,10464,Estadual,1717
105,10472,Estadual,1714
106,10472,Estadual,1717
107,10472,Estadual,1719
108,10480,Estadual,1714
109,10480,Estadual,1717
110,10480,Estadual,1719
111,10499,Estadual,1706
112,10499,Estadual,1714
113,10499,Estadual,1717
114,10510,Estadual,1701
115,10510,Estadual,1706
116,10510,Estadual,1707
117,10510,Estadual,1719
118,10537,Estadual,1719
119,10537,Estadual,1720
120,11738,Dupla,1701
121,11738,Dupla,1712
122,11738,Dupla,1717
123,11738,Estadual,1712
124,11738,Estadual,1717
125,11746,Dupla,1701
126,11746,Dupla,1708
127,11746,Dupla,1714
128,11746,Dupla,1718
129,11746,Estadual,1708
130,11746,Estadual,1714
131,11746,Estadual,1718
132,11800,Dupla,1701
133,11800,Dupla,1711
134,11800,Estadual,1711
135,12505,Municipal,1701
136,12505,Municipal,1708
137,12556,Municipal,1714
138,13633,Dupla,1701
139,13633,Dupla,1707
140,13633,Dupla,1708
141,13633,Dupla,1709
142,13633,Dupla,1713
143,13633,Dupla,1717
144,13633,Estadual,1713
145,13633,Estadual,1717
146,13633,Estadual,1723
147,13838,Estadual,1706
148,13838,Estadual,1718
149,13838,Estadual,1723
150,13846,Estadual,1706
151,14109,Municipal,1701
152,14109,Municipal,1706
153,14109,Municipal,1707
154,14109,Municipal,1723
155,15245,Dupla,1707
156,15245,Dupla,1708
157,15245,Dupla,1718
158,15245,Dupla,1723
159,15334,Dupla,1706
160,15334,Dupla,1723
161,15563,Dupla,1701
162,15563,Dupla,1711
163,15563,Municipal,1701
164,15598,Municipal,1704
165,15598,Municipal,1715
166,15644,Dupla,1702
167,15644,Dupla,1713
168,15644,Dupla,1717
169,15644,Dupla,1722
170,15644,Dupla,1723
171,15644,Municipal,1702
172,17868,Dupla,1706
173,17868,Dupla,1707
174,17868,Municipal,1701
175,17868,Municipal,1706
176,17868,Municipal,1707
177,17868,Municipal,1718
178,19283,Dupla,1701
179,19283,Dupla,1714
180,19283,Estadual,1714
181,19283,Estadual,1723
182,19402,Dupla,1704
183,19402,Estadual,1701
184,19402,Estadual,1704
185,19402,Municipal,1704
186,19445,Estadual,1701
187,19445,Estadual,1707
188,19445,Estadual,1708
189,19445,Estadual,1715
190,19445,Estadual,1716
191,25186,Municipal,1706
192,25186,Municipal,1707
193,26840,Municipal,1701
194,26840,Municipal,1707
195,26840,Municipal,1718
196,26840,Municipal,1723
197,26859,Municipal,1701
198,26859,Municipal,1707
199,26859,Municipal,1708
200,26964,Municipal,1707
201,27014,Municipal,1701
202,27014,Municipal,1707
203,27014,Municipal,1708
204,27014,Municipal,1709
205,27014,Municipal,1713
206,27014,Municipal,1717
207,27014,Municipal,1723
208,27049,Municipal,1701
209,27049,Municipal,1708
210,27049,Municipal,1709
211,27049,Municipal,1717
212,27049,Municipal,1723
213,2001586,Dupla,1707
214,2001586,Estadual,1707
215,2004976,Municipal,1701
216,2004976,Municipal,1706
217,2005417,Municipal,1707
218,2006197,Municipal,1701
219,2006197,Municipal,1706
220,2006197,Municipal,1712
221,2006448,Municipal,1701
222,2006448,Municipal,1711
223,2007037,Municipal,1701
224,2007037,Municipal,1704
225,2007037,Municipal,1713
226,2007037,Municipal,1717
227,2007037,Municipal,1718
228,2012677,Dupla,1701
229,2012677,Dupla,1706
230,2012677,Dupla,1707
231,2012677,Dupla,1708
232,2012677,Dupla,1709
233,2012677,Dupla,1717
234,2012677,Estadual,1706
235,2012677,Estadual,1707
236,2012677,Estadual,1708
237,2012677,Estadual,1709
238,2012677,Estadual,1717
239,2017644,Estadual,1714
240,2017644,Estadual,1719
241,2017644,Estadual,1721
242,2020645,Estadual,1705
243,2020645,Estadual,1706
244,2025361,Municipal,1701
245,2025361,Municipal,1706
246,2025361,Municipal,1707
247,2025507,Dupla,1701
248,2025507,Estadual,1701
249,2025507,Estadual,1707
250,2025507,Estadual,1708
251,2025507,Estadual,1713
252,2025507,Estadual,1723
253,2025752,Municipal,1701
254,2025752,Municipal,1707
255,2025752,Municipal,1708
256,2025752,Municipal,1713
257,2027186,Municipal,1706
258,2027356,Municipal,1714
259,2027356,Municipal,1723
260,2030705,Estadual,1704
261,2030705,Estadual,1707
262,2030705,Estadual,1708
263,2030705,Estadual,1709
264,2030705,Estadual,1715
265,2058790,Municipal,1706
266,2066572,Dupla,1701
267,2066572,Dupla,1706
268,2066572,Dupla,1714
269,2066572,Estadual,1706
270,2066572,Estadual,1718
271,2071371,Dupla,1701
272,2071371,Dupla,1711
273,2071371,Estadual,1711
274,2077396,Estadual,1701
275,2077396,Estadual,1707
276,2077396,Estadual,1708
277,2077396,Estadual,1709
278,2077396,Estadual,1717
279,2077396,Estadual,1720
280,2077396,Estadual,1723
281,2077434,Estadual,1706
282,2077434,Estadual,1719
283,2077434,Estadual,1720
284,2077477,Dupla,1713
285,2077477,Estadual,1713
286,2077477,Estadual,1717
287,2077477,Estadual,1723
288,2077477,Municipal,1701
289,2077477,Municipal,1713
290,2077485,Dupla,1701
291,2077485,Dupla,1707
292,2077485,Dupla,1708
293,2077485,Dupla,1709
294,2077485,Dupla,1713
295,2077485,Estadual,1712
296,2077485,Estadual,1713
297,2077485,Estadual,1717
298,2077485,Estadual,1723
299,2077523,Dupla,1701
300,2077523,Dupla,1706
301,2077523,Estadual,1706
302,2077531,Municipal,1703
303,2077531,Municipal,1707
304,2077531,Municipal,1713
305,2077531,Municipal,1717
306,2077531,Municipal,1718
307,2077590,Municipal,1701
308,2077590,Municipal,1707
309,2077590,Municipal,1708
310,2077590,Municipal,1717
311,2078015,Dupla,1701
312,2078015,Dupla,1713
313,2078015,Estadual,1713
314,2078015,Estadual,1717
315,2078015,Estadual,1723
316,2078287,Dupla,1701
317,2078287,Dupla,1706
318,2078287,Estadual,1706
319,2078287,Estadual,1717
320,2078287,Estadual,1723
321,2078775,Dupla,1701
322,2078775,Dupla,1708
323,2078775,Estadual,1701
324,2078775,Estadual,1707
325,2078775,Estadual,1708
326,2078775,Estadual,1723
327,2078775,Municipal,1701
328,2079186,Municipal,1719
329,2079186,Municipal,1720
330,2079321,Municipal,1705
331,2079321,Municipal,1711
332,2079720,Dupla,1706
333,2079720,Estadual,1706
334,2079720,Estadual,1707
335,2079720,Estadual,1708
336,2079720,Estadual,1723
337,2079798,Estadual,1701
338,2079798,Estadual,1712
339,2079798,Estadual,1717
340,2079828,Dupla,1714
341,2079828,Estadual,1714
342,2080125,Estadual,1712
343,2080125,Estadual,1717
344,2080125,Estadual,1723
345,2080125,Municipal,1702
346,2080125,Municipal,1707
347,2080125,Municipal,1708
348,2080125,Municipal,1712
349,2080125,Municipal,1717
350,2080273,Dupla,1709
351,2080273,Estadual,1707
352,2080273,Estadual,1708
353,2080273,Estadual,1709
354,2080273,Estadual,1718
355,2080273,Estadual,1723
356,2080354,Municipal,1701
357,2080354,Municipal,1707
358,2080400,Municipal,1701
359,2080400,Municipal,1707
360,2080400,Municipal,1708
361,2080400,Municipal,1712
362,2080400,Municipal,1718
363,2080400,Municipal,1723
364,2080532,Dupla,1701
365,2080532,Dupla,1708
366,2080532,Estadual,1707
367,2080532,Estadual,1708
368,2080532,Estadual,1709
369,2080575,Municipal,1702
370,2080575,Municipal,1707
371,2080575,Municipal,1713
372,2080664,Estadual,1706
373,2080664,Estadual,1719
374,2080664,Estadual,1723
375,2080680,Dupla,1714
376,2080680,Estadual,1706
377,2080680,Estadual,1708
378,2080680,Estadual,1714
379,2080680,Estadual,1723
380,2080931,Municipal,1701
381,2080931,Municipal,1707
382,2081253,Dupla,1701
383,2081253,Municipal,1706
384,2081458,Dupla,1701
385,2081458,Dupla,1707
386,2081458,Municipal,1707
387,2081458,Municipal,1723
388,2081482,Estadual,1701
389,2081482,Estadual,1707
390,2081482,Estadual,1711
391,2081490,Municipal,1707
392,2081512,Municipal,1706
393,2081644,Dupla,1701
394,2081644,Municipal,1707
395,2081695,Estadual,1701
396,2081695,Estadual,1708
397,2082128,Municipal,1701
398,2082128,Municipal,1707
399,2082128,Municipal,1708
400,2082128,Municipal,1710
401,2082128,Municipal,1715
402,2082128,Municipal,1718
403,2082187,Estadual,1701
404,2082187,Estadual,1713
405,2082187,Estadual,1717
406,2082187,Estadual,1719
407,2082187,Estadual,1720
408,2082187,Estadual,1723
409,2082527,Municipal,1701
410,2082527,Municipal,1707
411,2082527,Municipal,1708
412,2082527,Municipal,1719
413,2082527,Municipal,1720
414,2082594,Municipal,1706
415,2082888,Dupla,1706
416,2082888,Municipal,1706
417,2083086,Dupla,1702
418,2083086,Dupla,1707
419,2083086,Dupla,1708
420,2083086,Dupla,1709
421,2083086,Dupla,1713
422,2083086,Estadual,1707
423,2083086,Estadual,1708
424,2083086,Estadual,1709
425,2083086,Estadual,1713
426,2083086,Estadual,1717
427,2083086,Estadual,1719
428,2083086,Estadual,1720
429,2083086,Estadual,1722
430,2083086,Estadual,1723
431,2083094,Estadual,1706
432,2083094,Estadual,1723
433,2083116,Municipal,1701
434,2083116,Municipal,1706
435,2083116,Municipal,1708
436,2083116,Municipal,1709
437,2083604,Municipal,1701
438,2083604,Municipal,1706
439,2084163,Dupla,1714
440,2084163,Estadual,1714
441,2084163,Estadual,1723
442,2084228,Municipal,1707
443,2084414,Municipal,1701
444,2084414,Municipal,1706
445,2084414,Municipal,1709
446,2084414,Municipal,1715
447,2084414,Municipal,1723
448,2085194,Municipal,1701
449,2085194,Municipal,1706
450,2085194,Municipal,1718
451,2085194,Municipal,1723
452,2087057,Dupla,1701
453,2087057,Dupla,1707
454,2087057,Dupla,1708
455,2087057,Municipal,1707
456,2087057,Municipal,1708
457,2087057,Municipal,1723
458,2088576,Dupla,1701
459,2088576,Dupla,1708
460,2088576,Estadual,1708
461,2088576,Estadual,1718
462,2089327,Estadual,1701
463,2089327,Estadual,1706
464,2089327,Estadual,1723
465,2089335,Estadual,1715
466,2089696,Municipal,1707
467,2089696,Municipal,1711
468,2090236,Dupla,1713
469,2090236,Estadual,1702
470,2090236,Estadual,1713
471,2090236,Estadual,1717
472,2090236,Estadual,1722
473,2090236,Estadual,1723
474,2092298,Estadual,1714
475,2092298,Estadual,1721
476,2092298,Municipal,1714
477,2096498,Municipal,1705
478,2096498,Municipal,1706
479,2096498,Municipal,1707
480,2098911,Municipal,1701
481,2098911,Municipal,1706
482,2098938,Municipal,1701
483,2098938,Municipal,1706
484,2105780,Municipal,1706
485,2105780,Municipal,1723
486,2110075,Municipal,1704
487,2110075,Municipal,1715
488,2111640,Municipal,1706
489,2111640,Municipal,1707
490,2111640,Municipal,1723
491,2118661,Municipal,1706
492,2118661,Municipal,1707
493,2118661,Municipal,1708
494,2118661,Municipal,1717
495,2118661,Municipal,1723
496,2126494,Municipal,1707
497,2126494,Municipal,1723
498,2127989,Dupla,1706
499,2127989,Dupla,1707
500,2127989,Dupla,1708
501,2127989,Municipal,1706
502,2127989,Municipal,1707
503,2127989,Municipal,1708
504,2127989,Municipal,1709
505,2127989,Municipal,1718
506,2127989,Municipal,1723
507,2129469,Municipal,1701
508,2129469,Municipal,1706
509,2129469,Municipal,1718
510,2129469,Municipal,1723
511,2146355,Municipal,1701
512,2146355,Municipal,1707
513,2146355,Municipal,1708
514,2146355,Municipal,1709
515,2146355,Municipal,1714
516,2146355,Municipal,1715
517,2146355,Municipal,1716
518,2146355,Municipal,1718
519,2146355,Municipal,1723
520,2148293,Municipal,1706
521,2148293,Municipal,1707
522,2148293,Municipal,1723
523,2149990,Dupla,1707
524,2149990,Municipal,1701
525,2149990,Municipal,1707
526,2149990,Municipal,1723
527,2153025,Municipal,1701
528,2153025,Municipal,1707
529,2153025,Municipal,1708
530,2153025,Municipal,1723
531,2153106,Municipal,1702
532,2153106,Municipal,1707
533,2153106,Municipal,1708
534,2153106,Municipal,1718
535,2153106,Municipal,1723
536,2153114,Municipal,1701
537,2153114,Municipal,1707
538,2153114,Municipal,1708
539,2153114,Municipal,1723
540,2159252,Municipal,1701
541,2159252,Municipal,1707
542,2159252,Municipal,1708
543,2159252,Municipal,1717
544,2159252,Municipal,1718
545,2159252,Municipal,1723
546,2161354,Municipal,1701
547,2161354,Municipal,1706
548,2161354,Municipal,1707
549,2161354,Municipal,1723
550,2165058,Municipal,1701
551,2165058,Municipal,1707
552,2165058,Municipal,1708
553,2165058,Municipal,1718
554,2165058,Municipal,1723
555,2171945,Municipal,1706
556,2171945,Municipal,1707
557,2171945,Municipal,1708
558,2171945,Municipal,1718
559,2171945,Municipal,1723
560,2184834,Municipal,1706
561,2184834,Municipal,1723
562,2195453,Dupla,1701
563,2195453,Dupla,1712
564,2195453,Dupla,1717
565,2195453,Dupla,1722
566,2195453,Dupla,1723
567,2196972,Municipal,1707
568,2200457,Municipal,1702
569,2200457,Municipal,1712
570,2200457,Municipal,1717
571,2200457,Municipal,1723
572,2205440,Municipal,1701
573,2205440,Municipal,1707
574,2205440,Municipal,1708
575,2205440,Municipal,1709
576,2205440,Municipal,1718
577,2205440,Municipal,1723
578,2206528,Municipal,1706
579,2206528,Municipal,1707
580,2206528,Municipal,1718
581,2206528,Municipal,1723
582,2206595,Municipal,1701
583,2206595,Municipal,1706
584,2206595,Municipal,1707
585,2206595,Municipal,1708
586,2206595,Municipal,1713
587,2206595,Municipal,1723
588,2209195,Municipal,1706
589,2215586,Municipal,1706
590,2215586,Municipal,1723
591,2219646,Estadual,1707
592,2219646,Estadual,1708
593,2219646,Estadual,1718
594,2219646,Municipal,1701
595,2219646,Municipal,1707
596,2219646,Municipal,1708
597,2219646,Municipal,1718
598,2219646,Municipal,1723
599,2223538,Municipal,1701
600,2223538,Municipal,1707
601,2223538,Municipal,1708
602,2223538,Municipal,1709
603,2223538,Municipal,1718
604,2223538,Municipal,1723
605,2223546,Municipal,1705
606,2223546,Municipal,1706
607,2223546,Municipal,1707
608,2227932,Estadual,1706
609,2227932,Estadual,1723
610,2232014,Municipal,1708
611,2232014,Municipal,1723
612,2232022,Municipal,1701
613,2232022,Municipal,1707
614,2232022,Municipal,1718
615,2232022,Municipal,1723
616,2232057,Estadual,1705
617,2232057,Estadual,1706
618,2232057,Municipal,1706
619,2232995,Dupla,1701
620,2232995,Dupla,1707
621,2232995,Dupla,1708
622,2232995,Estadual,1707
623,2232995,Estadual,1708
624,2232995,Estadual,1723
625,2237253,Municipal,1701
626,2237253,Municipal,1713
627,2237253,Municipal,1717
628,2237571,Municipal,1701
629,2237571,Municipal,1708
630,2237571,Municipal,1709
631,2237571,Municipal,1717
632,2237571,Municipal,1723
633,2237601,Municipal,1701
634,2237601,Municipal,1713
635,2237601,Municipal,1717
636,2237601,Municipal,1719
637,2237601,Municipal,1720
638,2237601,Municipal,1723
639,2241021,Estadual,1701
640,2241021,Estadual,1706
641,2241021,Municipal,1706
642,2241021,Municipal,1707
643,2241021,Municipal,1718
644,2241021,Municipal,1723
645,2244306,Dupla,1701
646,2244306,Dupla,1707
647,2244306,Dupla,1708
648,2244306,Dupla,1709
649,2244306,Estadual,1707
650,2244306,Estadual,1708
651,2244306,Estadual,1709
652,2244357,Dupla,1706
653,2246929,Dupla,1706
654,2246929,Dupla,1708
655,2246929,Dupla,1718
656,2246929,Estadual,1706
657,2246929,Estadual,1718
658,2246929,Estadual,1723
659,2246988,Dupla,1701
660,2246988,Dupla,1704
661,2246988,Dupla,1707
662,2246988,Dupla,1708
663,2246988,Dupla,1709
664,2246988,Dupla,1717
665,2246988,Estadual,1707
666,2246988,Estadual,1708
667,2246988,Estadual,1709
668,2246988,Estadual,1717
669,2248190,Dupla,1701
670,2248190,Dupla,1707
671,2248190,Estadual,1707
672,2248190,Estadual,1723
673,2248204,Dupla,1706
674,2248204,Estadual,1706
675,2248204,Estadual,1723
676,2252287,Estadual,1701
677,2252287,Estadual,1704
678,2252287,Estadual,1707
679,2252287,Estadual,1708
680,2252287,Estadual,1718
681,2252287,Municipal,1707
682,2252287,Municipal,1708
683,2252287,Municipal,1718
684,2252694,Municipal,1705
685,2252694,Municipal,1707
686,2252694,Municipal,1708
687,2253054,Municipal,1704
688,2253054,Municipal,1707
689,2253054,Municipal,1708
690,2253054,Municipal,1723
